【用户正在购买】,1658114260806,2022-07-18 11:17:40,jd_45a97f83603dc,87号
【用户正在购买】,1658114797673,2022-07-18 11:26:37,jd_DLsDcVLWeFXT,142号
【用户关注】,1658114801398,2022-07-18 11:26:41,jd_153640qzl
【用户正在购买】,1658114805116,2022-07-18 11:26:45,jd_178092isa,150号
【用户正在购买】,1658114810957,2022-07-18 11:26:50,jd_178092isa,148号
【用户领券】,1658114816860,2022-07-18 11:26:56,jd_153640qzl,领取了满129元打9折券
【用户正在购买】,1658114819258,2022-07-18 11:26:59,jd_178092isa,147号
【用户正在购买】,1658114819525,2022-07-18 11:26:59,jd_ghxAcsYXhdZj,120号
【用户关注】,1658114821292,2022-07-18 11:27:01,jd_mLodqcRAoiFE
【用户领券】,1658114823642,2022-07-18 11:27:03,jd_183671qdp,领取了满300减200元券
【用户正在购买】,1658114830599,2022-07-18 11:27:10,jd_178092isa,147号
【用户加入购物车】,1658114833405,2022-07-18 11:27:13,jd_7008fdacc54ed,43号
【用户正在购买】,1658114836647,2022-07-18 11:27:16,jd_178092isa,146号
【用户正在购买】,1658114850806,2022-07-18 11:27:30,jd_178092isa,145号
【用户正在购买】,1658114859689,2022-07-18 11:27:39,jd_178092isa,141号
【用户正在购买】,1658114865954,2022-07-18 11:27:45,jd_178092isa,139号
【用户正在购买】,1658114878149,2022-07-18 11:27:58,jd_lcMbEIkCthhq,149号
【主播推送商品】,1658114885801,2022-07-18 11:28:05,主播,131号
【主播推送商品】,1658114886286,2022-07-18 11:28:06,主播,131号
【主播推送商品】,1658114887012,2022-07-18 11:28:07,主播,131号
【主播推送商品】,1658114887543,2022-07-18 11:28:07,主播,131号
【用户正在购买】,1658114888743,2022-07-18 11:28:08,樱桃小丸子丸子呀,131号
【用户正在购买】,1658114892881,2022-07-18 11:28:12,jd_7008fdacc54ed,150号
【用户加入购物车】,1658114908142,2022-07-18 11:28:28,jd_7008fdacc54ed,146号
【用户领券】,1658114917141,2022-07-18 11:28:37,jd_mLodqcRAoiFE,领取了满300减200元券
【用户加入购物车】,1658114943934,2022-07-18 11:29:03,jd_4d8ca888d1b9d,118号
【主播推送商品】,1658114954055,2022-07-18 11:29:14,主播,131号
【主播推送商品】,1658114954398,2022-07-18 11:29:14,主播,131号
【主播推送商品】,1658114954656,2022-07-18 11:29:14,主播,131号
【主播推送商品】,1658114954940,2022-07-18 11:29:14,主播,131号
【用户正在购买】,1658114957831,2022-07-18 11:29:17,樱桃小丸子丸子呀,131号
【用户加入购物车】,1658114965111,2022-07-18 11:29:25,jd_4d8ca888d1b9d,118号
【主播推送商品】,1658114970140,2022-07-18 11:29:30,主播,131号
【主播推送商品】,1658114970311,2022-07-18 11:29:30,主播,131号
【主播推送商品】,1658114970536,2022-07-18 11:29:30,主播,131号
【主播推送商品】,1658114970646,2022-07-18 11:29:30,主播,131号
【主播推送商品】,1658114970871,2022-07-18 11:29:30,主播,131号
【用户正在购买】,1658114979318,2022-07-18 11:29:39,jd_176711laz,131号
【主播推送商品】,1658114990342,2022-07-18 11:29:50,主播,131号
【主播推送商品】,1658114990465,2022-07-18 11:29:50,主播,131号
【主播推送商品】,1658114990746,2022-07-18 11:29:50,主播,131号
【用户关注】,1658115021218,2022-07-18 11:30:21,jd_41afdf265b787
【主播推送商品】,1658115026567,2022-07-18 11:30:26,主播,131号
【主播推送商品】,1658115026846,2022-07-18 11:30:26,主播,131号
【主播推送商品】,1658115027121,2022-07-18 11:30:27,主播,131号
【主播推送商品】,1658115027379,2022-07-18 11:30:27,主播,131号
【主播推送商品】,1658115027623,2022-07-18 11:30:27,主播,131号
【主播推送商品】,1658115027891,2022-07-18 11:30:27,主播,131号
【主播推送商品】,1658115061665,2022-07-18 11:31:01,主播,131号
【主播推送商品】,1658115061788,2022-07-18 11:31:01,主播,131号
【主播推送商品】,1658115068087,2022-07-18 11:31:08,主播,132号
【主播推送商品】,1658115068369,2022-07-18 11:31:08,主播,132号
【主播推送商品】,1658115069201,2022-07-18 11:31:09,主播,132号
【主播推送商品】,1658115072645,2022-07-18 11:31:12,主播,132号
【主播推送商品】,1658115073936,2022-07-18 11:31:13,主播,132号
【主播推送商品】,1658115079230,2022-07-18 11:31:19,主播,132号
【主播推送商品】,1658115079375,2022-07-18 11:31:19,主播,132号
【主播推送商品】,1658115079592,2022-07-18 11:31:19,主播,132号
【主播正在讲解】,1658115109273,2022-07-18 11:31:49,主播,132号
【主播弹幕】,1658115109286,2022-07-18 11:31:49,主播,正在讲解132号宝贝
【主播开始讲解】,1658115109355,2022-07-18 11:31:49,主播,132
【用户领券】,1658115175524,2022-07-18 11:32:55,磊少888,领取了满300减200元券
【主播推送商品】,1658115189706,2022-07-18 11:33:09,主播,132号
【主播推送商品】,1658115189891,2022-07-18 11:33:09,主播,132号
【用户正在购买】,1658115192118,2022-07-18 11:33:12,jd_176711laz,132号
【用户正在购买】,1658115192770,2022-07-18 11:33:12,磊少888,137号
【实时弹幕】,1658115202271,2022-07-18 11:33:22,jd_ZvUTeV1gsuaQLCu,哪款适合小孩吃
【主播推送商品】,1658115224387,2022-07-18 11:33:44,主播,132号
【主播推送商品】,1658115224541,2022-07-18 11:33:44,主播,132号
【主播推送商品】,1658115224688,2022-07-18 11:33:44,主播,132号
【主播推送商品】,1658115225611,2022-07-18 11:33:45,主播,132号
【主播推送商品】,1658115225777,2022-07-18 11:33:45,主播,132号
【用户正在购买】,1658115261135,2022-07-18 11:34:21,jd_ZvUTeV1gsuaQLCu,132号
【用户加入购物车】,1658115264242,2022-07-18 11:34:24,jd_ZvUTeV1gsuaQLCu,132号
【主播推送商品】,1658115266177,2022-07-18 11:34:26,主播,132号
【主播推送商品】,1658115266214,2022-07-18 11:34:26,主播,132号
【实时弹幕】,1658115270677,2022-07-18 11:34:30,jd_ZvUTeV1gsuaQLCu,多少米
【主播推送商品】,1658115271751,2022-07-18 11:34:31,主播,132号
【用户正在购买】,1658115278034,2022-07-18 11:34:38,樱桃小丸子丸子呀,132号
【用户加入购物车】,1658115307939,2022-07-18 11:35:07,jd_ZvUTeV1gsuaQLCu,132号
【用户正在购买】,1658115309186,2022-07-18 11:35:09,jd_ZvUTeV1gsuaQLCu,132号
【主播推送商品】,1658115329523,2022-07-18 11:35:29,主播,132号
【用户正在购买】,1658115351885,2022-07-18 11:35:51,jd_668643ec2a059,132号
【主播推送商品】,1658115370458,2022-07-18 11:36:10,主播,132号
【主播推送商品】,1658115370607,2022-07-18 11:36:10,主播,132号
【主播推送商品】,1658115370887,2022-07-18 11:36:10,主播,132号
【主播推送商品】,1658115370970,2022-07-18 11:36:10,主播,132号
【主播推送商品】,1658115371199,2022-07-18 11:36:11,主播,132号
【主播推送商品】,1658115371389,2022-07-18 11:36:11,主播,132号
【主播推送商品】,1658115371668,2022-07-18 11:36:11,主播,132号
【用户正在购买】,1658115404890,2022-07-18 11:36:44,jd_668643ec2a059,132号
【主播结束讲解】,1658115408410,2022-07-18 11:36:48,主播,132
【用户正在购买】,1658115446401,2022-07-18 11:37:26,jd_Wp1Nd7Ui7kZHnrF,148号
【主播推送商品】,1658115508676,2022-07-18 11:38:28,主播,150号
【主播推送商品】,1658115508802,2022-07-18 11:38:28,主播,150号
【主播推送商品】,1658115508980,2022-07-18 11:38:28,主播,150号
【用户加入购物车】,1658115549861,2022-07-18 11:39:09,jd_7bd749c5a74bf,150号
【用户加入购物车】,1658115558445,2022-07-18 11:39:18,jd_5be7bcc82a4b1,69号
【实时弹幕】,1658115633355,2022-07-18 11:40:33,xxmming,纤丝魔芋在几号
【用户正在购买】,1658115647619,2022-07-18 11:40:47,jd_137534jsy,138号
【用户正在购买】,1658115662469,2022-07-18 11:41:02,宗丶大大,148号
【用户领券】,1658115663538,2022-07-18 11:41:03,透明泡泡666,领取了满199减130元券
【主播推送商品】,1658115675679,2022-07-18 11:41:15,主播,50号
【主播推送商品】,1658115675851,2022-07-18 11:41:15,主播,50号
【主播推送商品】,1658115676146,2022-07-18 11:41:16,主播,50号
【主播推送商品】,1658115677489,2022-07-18 11:41:17,主播,50号
【主播推送商品】,1658115683836,2022-07-18 11:41:23,主播,29号
【主播推送商品】,1658115683992,2022-07-18 11:41:23,主播,29号
【主播推送商品】,1658115684166,2022-07-18 11:41:24,主播,29号
【主播推送商品】,1658115684708,2022-07-18 11:41:24,主播,29号
【主播推送商品】,1658115685141,2022-07-18 11:41:25,主播,29号
【用户正在购买】,1658115686791,2022-07-18 11:41:26,透明泡泡666,29号
【用户正在购买】,1658115689579,2022-07-18 11:41:29,jd_AnoMhdLHztME,29号
【主播推送商品】,1658115691847,2022-07-18 11:41:31,主播,29号
【主播推送商品】,1658115691969,2022-07-18 11:41:31,主播,29号
【主播推送商品】,1658115692157,2022-07-18 11:41:32,主播,29号
【主播推送商品】,1658115692574,2022-07-18 11:41:32,主播,29号
【主播推送商品】,1658115693067,2022-07-18 11:41:33,主播,29号
【主播推送商品】,1658115695860,2022-07-18 11:41:35,主播,29号
【主播推送商品】,1658115696010,2022-07-18 11:41:36,主播,29号
【主播推送商品】,1658115696185,2022-07-18 11:41:36,主播,29号
【主播推送商品】,1658115696353,2022-07-18 11:41:36,主播,29号
【用户正在购买】,1658115698035,2022-07-18 11:41:38,xxmming,29号
【用户正在购买】,1658115698734,2022-07-18 11:41:38,樱桃小丸子丸子呀,29号
【主播推送商品】,1658115718688,2022-07-18 11:41:58,主播,29号
【主播推送商品】,1658115719164,2022-07-18 11:41:59,主播,29号
【主播推送商品】,1658115719404,2022-07-18 11:41:59,主播,29号
【实时弹幕】,1658115721781,2022-07-18 11:42:01,xxmming,为什么是绿色包装？
【用户正在购买】,1658115723414,2022-07-18 11:42:03,透明泡泡666,149号
【主播推送商品】,1658115729853,2022-07-18 11:42:09,主播,29号
【主播推送商品】,1658115730493,2022-07-18 11:42:10,主播,29号
【主播推送商品】,1658115730687,2022-07-18 11:42:10,主播,29号
【主播推送商品】,1658115730884,2022-07-18 11:42:10,主播,29号
【主播推送商品】,1658115731494,2022-07-18 11:42:11,主播,29号
【主播推送商品】,1658115741315,2022-07-18 11:42:21,主播,29号
【主播推送商品】,1658115741571,2022-07-18 11:42:21,主播,29号
【实时弹幕】,1658115743455,2022-07-18 11:42:23,xxmming,我实体店是粉红色包装
【用户正在购买】,1658115748847,2022-07-18 11:42:28,xxmming,29号
【主播推送商品】,1658115756443,2022-07-18 11:42:36,主播,150号
【用户正在购买】,1658115759523,2022-07-18 11:42:39,透明泡泡666,144号
【用户加入购物车】,1658115772899,2022-07-18 11:42:52,jd_56ec2322dfda5,137号
【用户正在购买】,1658115774123,2022-07-18 11:42:54,jd_56ec2322dfda5,150号
【用户正在购买】,1658115781988,2022-07-18 11:43:01,多啦a梦的管家,147号
【用户关注】,1658115828692,2022-07-18 11:43:48,老三Peter
【实时弹幕】,1658115836152,2022-07-18 11:43:56,jd_7e9c5456c9d52,没有看到这么多啊
【用户正在购买】,1658115838186,2022-07-18 11:43:58,jd_138685pxc,146号
【用户正在购买】,1658115849143,2022-07-18 11:44:09,jd_138685pxc,148号
【用户正在购买】,1658115856147,2022-07-18 11:44:16,xxmming,50号
【用户正在购买】,1658115859033,2022-07-18 11:44:19,jd_138685pxc,119号
【用户正在购买】,1658115860456,2022-07-18 11:44:20,jd_7e9c5456c9d52,150号
【用户关注】,1658115874492,2022-07-18 11:44:34,我不乖003
【主播推送商品】,1658115894147,2022-07-18 11:44:54,主播,150号
【主播推送商品】,1658115894394,2022-07-18 11:44:54,主播,150号
【用户领券】,1658115924147,2022-07-18 11:45:24,jd_7d6084369ed23,领取了满129元打9折券
【用户正在购买】,1658115965679,2022-07-18 11:46:05,jd_7e9c5456c9d52,150号
【主播推送商品】,1658115965965,2022-07-18 11:46:05,主播,150号
【主播推送商品】,1658115965971,2022-07-18 11:46:05,主播,150号
【主播推送商品】,1658115983115,2022-07-18 11:46:23,主播,150号
【主播推送商品】,1658115983245,2022-07-18 11:46:23,主播,150号
【主播推送商品】,1658115983412,2022-07-18 11:46:23,主播,150号
【实时弹幕】,1658116000993,2022-07-18 11:46:40,xxmming,是不是线上线下包装颜色不一样
【实时弹幕】,1658116007347,2022-07-18 11:46:47,xxmming,里面一样的？
【用户领券】,1658116026365,2022-07-18 11:47:06,jd131216ktr,领取了满300减200元券
【用户正在购买】,1658116028613,2022-07-18 11:47:08,jd_OSqmEujLRQcV,106号
【用户加入购物车】,1658116031197,2022-07-18 11:47:11,xxmming,29号
【实时弹幕】,1658116032889,2022-07-18 11:47:12,jd_7e9c5456c9d52,没有啦
【主播推送商品】,1658116046195,2022-07-18 11:47:26,主播,150号
【主播推送商品】,1658116046335,2022-07-18 11:47:26,主播,150号
【主播推送商品】,1658116046490,2022-07-18 11:47:26,主播,150号
【用户加入购物车】,1658116048494,2022-07-18 11:47:28,xxmming,50号
【用户正在购买】,1658116049885,2022-07-18 11:47:29,xxmming,50号
【主播推送商品】,1658116060600,2022-07-18 11:47:40,主播,150号
【主播推送商品】,1658116060865,2022-07-18 11:47:40,主播,150号
【实时弹幕】,1658116072713,2022-07-18 11:47:52,gbxzhywm,145
【实时弹幕】,1658116074021,2022-07-18 11:47:54,jd_7e9c5456c9d52,就是这个没有啦
【用户正在购买】,1658116091926,2022-07-18 11:48:11,jd_OSqmEujLRQcV,106号
【用户正在购买】,1658116117036,2022-07-18 11:48:37,小旺哥2014,150号
【用户正在购买】,1658116119366,2022-07-18 11:48:39,gbxzhywm,150号
【用户加入购物车】,1658116121590,2022-07-18 11:48:41,xxmming,50号
【主播推送商品】,1658116122491,2022-07-18 11:48:42,主播,148号
【主播推送商品】,1658116122639,2022-07-18 11:48:42,主播,148号
【用户正在购买】,1658116135255,2022-07-18 11:48:55,xxmming,58号
【用户正在购买】,1658116139274,2022-07-18 11:48:59,gbxzhywm,148号
【用户加入购物车】,1658116139285,2022-07-18 11:48:59,xxmming,58号
【用户正在购买】,1658116140746,2022-07-18 11:49:00,jd_7e9c5456c9d52,148号
【主播推送商品】,1658116148115,2022-07-18 11:49:08,主播,148号
【主播推送商品】,1658116148278,2022-07-18 11:49:08,主播,148号
【主播推送商品】,1658116148433,2022-07-18 11:49:08,主播,148号
【主播推送商品】,1658116148653,2022-07-18 11:49:08,主播,148号
【用户加入购物车】,1658116150454,2022-07-18 11:49:10,xxmming,67号
【用户正在购买】,1658116154989,2022-07-18 11:49:14,xxmming,67号
【用户正在购买】,1658116167583,2022-07-18 11:49:27,gbxzhywm,145号
【用户正在购买】,1658116173893,2022-07-18 11:49:33,jd_7e9c5456c9d52,150号
【用户正在购买】,1658116180842,2022-07-18 11:49:40,小旺哥2014,150号
【主播推送商品】,1658116197611,2022-07-18 11:49:57,主播,150号
【主播推送商品】,1658116197769,2022-07-18 11:49:57,主播,150号
【用户正在购买】,1658116199934,2022-07-18 11:49:59,jd_iXVvQAXUCKea,150号
【用户正在购买】,1658116199984,2022-07-18 11:49:59,jd_7e9c5456c9d52,145号
【主播推送商品】,1658116216256,2022-07-18 11:50:16,主播,145号
【主播推送商品】,1658116216789,2022-07-18 11:50:16,主播,145号
【主播推送商品】,1658116217811,2022-07-18 11:50:17,主播,145号
【用户正在购买】,1658116240208,2022-07-18 11:50:40,xxmming,68号
【用户正在购买】,1658116247393,2022-07-18 11:50:47,ytqneqiq,144号
【实时弹幕】,1658116248663,2022-07-18 11:50:48,jd_7e9c5456c9d52,148还是没有
【用户加入购物车】,1658116249291,2022-07-18 11:50:49,jd芊芊宝宝,137号
【用户正在购买】,1658116252185,2022-07-18 11:50:52,jd芊芊宝宝,137号
【用户正在购买】,1658116278087,2022-07-18 11:51:18,小旺哥2014,147号
【用户领券】,1658116296230,2022-07-18 11:51:36,Camelliaxy,领取了满300减200元券
【实时弹幕】,1658116305765,2022-07-18 11:51:45,xxmming,已经付款的
【实时弹幕】,1658116319374,2022-07-18 11:51:59,jd_OSqmEujLRQcV,请问在多少链接
【用户关注】,1658116325281,2022-07-18 11:52:05,gbxzhywm
【实时弹幕】,1658116328463,2022-07-18 11:52:08,xxmming,100多块是不是有个帆布包？
【用户加入购物车】,1658116331808,2022-07-18 11:52:11,jd芊芊宝宝,137号
【主播推送商品】,1658116332975,2022-07-18 11:52:12,主播,145号
【主播推送商品】,1658116333031,2022-07-18 11:52:13,主播,145号
【用户正在购买】,1658116333824,2022-07-18 11:52:13,jd芊芊宝宝,137号
【用户正在购买】,1658116343110,2022-07-18 11:52:23,jd_OSqmEujLRQcV,145号
【主播推送商品】,1658116345663,2022-07-18 11:52:25,主播,145号
【主播推送商品】,1658116345811,2022-07-18 11:52:25,主播,145号
【主播推送商品】,1658116346108,2022-07-18 11:52:26,主播,145号
【主播推送商品】,1658116346209,2022-07-18 11:52:26,主播,145号
【用户正在购买】,1658116352384,2022-07-18 11:52:32,jd_7e9c5456c9d52,145号
【实时弹幕】,1658116359344,2022-07-18 11:52:39,xxmming,刚刚下单了
【用户领券】,1658116368543,2022-07-18 11:52:48,jd_TtxcikaJYYsc,领取了满300减200元券
【用户领券】,1658116369771,2022-07-18 11:52:49,酒歌酥鱼,领取了满300减200元券
【实时弹幕】,1658116378992,2022-07-18 11:52:58,xxmming,下单不是付款的意思吗，哈哈哈
【实时弹幕】,1658116383886,2022-07-18 11:53:03,jd芊芊宝宝,137号
【用户加入购物车】,1658116386228,2022-07-18 11:53:06,Camelliaxy,136号
【实时弹幕】,1658116392615,2022-07-18 11:53:12,xxmming,在哪领
【用户正在购买】,1658116397230,2022-07-18 11:53:17,jd_OSqmEujLRQcV,145号
【实时弹幕】,1658116406389,2022-07-18 11:53:26,jd芊芊宝宝,直接下单吗？
【主播推送商品】,1658116407252,2022-07-18 11:53:27,主播,145号
【主播推送商品】,1658116407471,2022-07-18 11:53:27,主播,145号
【用户正在购买】,1658116409589,2022-07-18 11:53:29,樱桃小丸子丸子呀,145号
【用户正在购买】,1658116415189,2022-07-18 11:53:35,xxmming,67号
【用户加入购物车】,1658116442297,2022-07-18 11:54:02,jd_7e9c5456c9d52,145号
【用户正在购买】,1658116443930,2022-07-18 11:54:03,jd_ErGChbuDEFEo,150号
【用户正在购买】,1658116457132,2022-07-18 11:54:17,gbxzhywm,137号
【用户正在购买】,1658116457141,2022-07-18 11:54:17,jd_ErGChbuDEFEo,148号
【用户正在购买】,1658116460614,2022-07-18 11:54:20,jd_7e9c5456c9d52,137号
【实时弹幕】,1658116476650,2022-07-18 11:54:36,jd芊芊宝宝,137拍2包直接下单可以送袋子吗？
【主播推送商品】,1658116480585,2022-07-18 11:54:40,主播,145号
【主播推送商品】,1658116480994,2022-07-18 11:54:40,主播,145号
【主播推送商品】,1658116481285,2022-07-18 11:54:41,主播,145号
【主播推送商品】,1658116481676,2022-07-18 11:54:41,主播,145号
【主播推送商品】,1658116481944,2022-07-18 11:54:41,主播,145号
【用户正在购买】,1658116482728,2022-07-18 11:54:42,jd_183148dag,145号
【主播推送商品】,1658116484376,2022-07-18 11:54:44,主播,145号
【主播推送商品】,1658116484607,2022-07-18 11:54:44,主播,145号
【主播推送商品】,1658116485843,2022-07-18 11:54:45,主播,145号
【用户正在购买】,1658116496061,2022-07-18 11:54:56,jd_ErGChbuDEFEo,145号
【实时弹幕】,1658116497288,2022-07-18 11:54:57,xxmming,在哪领
【用户正在购买】,1658116499028,2022-07-18 11:54:59,jd_7e9c5456c9d52,148号
【用户正在购买】,1658116509913,2022-07-18 11:55:09,jd_ErGChbuDEFEo,148号
【实时弹幕】,1658116513248,2022-07-18 11:55:13,xxmming,帆布包在哪领
【实时弹幕】,1658116530377,2022-07-18 11:55:30,jd芊芊宝宝,下单了怎么领凡布包？
【用户正在购买】,1658116544660,2022-07-18 11:55:44,jd_136142eck,150号
【用户正在购买】,1658116558575,2022-07-18 11:55:58,jd_136142eck,149号
【用户正在购买】,1658116610410,2022-07-18 11:56:50,xxmming,149号
【用户分享直播间】,1658116616837,2022-07-18 11:56:56,jd_星-颜-
【实时弹幕】,1658116627627,2022-07-18 11:57:07,jd_7e9c5456c9d52,看一下每日坚果
【用户正在购买】,1658116644531,2022-07-18 11:57:24,jd_EoNUTaRHOQGt,150号
【实时弹幕】,1658116644883,2022-07-18 11:57:24,侵噬emotiona,有没有甜品大礼包
【主播推送商品】,1658116670210,2022-07-18 11:57:50,主播,149号
【主播推送商品】,1658116670718,2022-07-18 11:57:50,主播,149号
【用户正在购买】,1658116685469,2022-07-18 11:58:05,侵噬emotiona,150号
【主播推送商品】,1658116691739,2022-07-18 11:58:11,主播,149号
【主播推送商品】,1658116691868,2022-07-18 11:58:11,主播,149号
【主播推送商品】,1658116692153,2022-07-18 11:58:12,主播,149号
【主播推送商品】,1658116703485,2022-07-18 11:58:23,主播,131号
【主播推送商品】,1658116703836,2022-07-18 11:58:23,主播,131号
【主播推送商品】,1658116704450,2022-07-18 11:58:24,主播,131号
【主播推送商品】,1658116705616,2022-07-18 11:58:25,主播,131号
【主播推送商品】,1658116706204,2022-07-18 11:58:26,主播,131号
【主播推送商品】,1658116707271,2022-07-18 11:58:27,主播,131号
【主播推送商品】,1658116708095,2022-07-18 11:58:28,主播,131号
【主播推送商品】,1658116717734,2022-07-18 11:58:37,主播,131号
【主播推送商品】,1658116717924,2022-07-18 11:58:37,主播,131号
【主播推送商品】,1658116718202,2022-07-18 11:58:38,主播,131号
【主播推送商品】,1658116718702,2022-07-18 11:58:38,主播,131号
【主播推送商品】,1658116719024,2022-07-18 11:58:39,主播,131号
【用户正在购买】,1658116723290,2022-07-18 11:58:43,jd_ErGChbuDEFEo,150号
【用户正在购买】,1658116731765,2022-07-18 11:58:51,jd_ErGChbuDEFEo,150号
【主播推送商品】,1658116735829,2022-07-18 11:58:55,主播,149号
【主播推送商品】,1658116735981,2022-07-18 11:58:55,主播,149号
【主播推送商品】,1658116736155,2022-07-18 11:58:56,主播,149号
【主播正在讲解】,1658116743187,2022-07-18 11:59:03,主播,149号
【主播弹幕】,1658116743204,2022-07-18 11:59:03,主播,正在讲解149号宝贝
【主播开始讲解】,1658116743230,2022-07-18 11:59:03,主播,149
【实时弹幕】,1658116751126,2022-07-18 11:59:11,u_y9uhg9l5lwf4,147
【实时弹幕】,1658116758031,2022-07-18 11:59:18,xxmming,那单号粘贴到哪里？只让我填地址就完事了
【用户正在购买】,1658116781167,2022-07-18 11:59:41,jd_j5B0HKPOktwOg1W,120号
【用户正在购买】,1658116792949,2022-07-18 11:59:52,侵噬emotiona,143号
【实时弹幕】,1658116795179,2022-07-18 11:59:55,xxmming,👌🏻👌🏻👌🏻👌🏻
【用户正在购买】,1658116823667,2022-07-18 12:00:23,侵噬emotiona,144号
【用户领券】,1658116833946,2022-07-18 12:00:33,u_3mu8j2wedrv8,领取了满300减200元券
【主播推送商品】,1658116854318,2022-07-18 12:00:54,主播,149号
【主播推送商品】,1658116854492,2022-07-18 12:00:54,主播,149号
【主播推送商品】,1658116854743,2022-07-18 12:00:54,主播,149号
